sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83
38_OFAV_004,243574,0.001833780189899834,-0.023632034892849627,0.015515117825864073,0.03397297251569994,-0.004929645810846599,0.0040200616354865645,0.007208234385466965,0.000828795025673591,0.010547104064039697,0.006184673042558746,7.098614097964324e-05,0.0030459111387854433,0.008089151923527075,0.015563904071766811,-0.01996510606797084,-0.00432699514591317,0.0034032132578177294,-0.002204771292891544,0.016825113366966522,0.006690616921596277,-0.006351036195632597,-0.007427801523875973,0.008262651976974643,0.005929892963095315,0.00339789402304629,-0.005567771043121603,0.011218098382552685,-0.0051426207079947025,-0.0035338689505323485,-0.005816046030468921,-0.0010735339330911833,0.0015196515969420185,-0.007390807689607667,-0.006122267792593408,0.00033984341798965904,-0.0011566248776705235,-0.0020721939644285335,0.00524251723641819,0.00044762244905843297,0.0022176984137396148,-0.002974584940910962,5.617105685580009e-05,0.002312944718224224,0.0021728950902043555,-4.675759065542065e-05,7.798126095304715e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39_OFAV_001a,243580,-0.07396380871237859,-0.15207486183576086,-0.23529812469119987,-0.046670491089123814,0.059410034053609014,0.011772951468003248,0.05858607075631041,0.003002218209582479,0.05466056395664212,0.009120784928177555,0.005770728079490824,-0.003827027370836819,0.02047246001771126,0.007556139501191321,0.017979879590369827,0.007345738567193202,-0.01666177027477874,-0.01097017966344251,0.008507588900897256,0.01846961319247684,0.001167273613116318,-0.0007633609744962216,0.0014913696693128137,-0.00556911556025079,0.009376274798149759,-0.004891183540062282,0.001156037810315362,-0.0010495115373868557,-0.000382790250053803,-0.005236102031530068,-0.011609589054684252,-0.0016748485461912622,-0.0005582400836400198,0.0008629897473981487,0.0011304866180704034,-0.0022364648709989176,0.0004055084834886716,3.319757733953122e-05,-0.0001015101159831587,-0.0004994351550364813,-0.0006023878854535945,0.0003546475364984069,5.404613712253028e-05,-7.028027786784166e-05,-1.542041954549659e-05,7.6255913134737985e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_OFAV_007,243588,-0.011812504311153745,-0.08394932536898622,-0.025570936805604877,0.15561700350939298,0.016212477954395333,0.003518222927550675,-0.015174747447778393,0.009838076113581947,-0.022149439890457347,-0.0028639998590235687,-0.005660023918955185,-0.005728501651664433,-0.0036729943392798223,-0.0035003495706185587,0.013924885752821494,-0.01405115690962717,-0.011998082710790104,-0.008800091475247749,0.00479389998260897,0.0004250167931331029,0.006870934630324971,-0.0275256817843411,-0.0008123276995802201,-0.00784801052557938,8.919548977011818e-05,0.004301566223415048,0.011106682553576193,-0.004126580858107967,0.009912977035230645,0.00317584634968333,-0.006568532975886261,-0.0021906439509959447,-0.004888294730614699,0.0007238609928370195,-0.007945054999540716,-0.003170885915756757,-0.0012757221262660963,0.0018284671503304814,0.0007499283986924719,-0.0018685089741581795,-0.0012059900697181597,-0.0020212309402713804,-0.0013148405254063454,-0.00037572246586081395,-0.00017377379748218278,-1.8994132709103494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43_OFAV_011,243594,-0.0070399913277301935,-0.05591174506570257,-0.011200408898897288,0.11062358369721711,0.013564365840337208,0.0032946956164342737,-0.012947970004408286,0.0037767662891790314,-0.016356070780530647,0.0005120140332973569,0.0008160469038953812,-0.011826645988510843,0.009238019006781917,0.0036187125810316903,0.005597520514999394,-0.0085909140929754,-0.009383618119190603,-0.006217673693567587,-0.0027341051614858886,0.010277086575150756,0.0037181883321916647,0.003614147473020406,0.005224058955788243,-0.003173388289116913,-0.013392853325923349,-0.010489214606809343,0.005690312122607091,0.0017531510985170067,-0.0032661437511873367,0.0007439690367664125,0.0027988339176534278,0.0006969959255129791,0.0011157061979345196,0.002646413783308897,0.011847435610234758,0.007642129230748545,0.001136703334479747,0.004133569465106335,0.0008923115316416556,-0.0021717344765084493,-0.002627481970796374,0.0018200219260432623,-0.000966228467315465,-0.0009176507340969166,0.0005766641019891483,-4.667125356386183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABE_OFAV_003,243608,0.003928004924633701,-0.023124194834187817,0.02451941290292193,0.0004744425803058287,-0.012892885953766524,0.002108770875430889,0.012663430398819715,0.004027818421069605,0.016002663929978424,-0.004766456902152027,-0.0021487140282831097,-0.008934118730918105,-0.0007053918159653348,0.0004240983976472147,-0.002592337837503816,-0.01341517874329641,-0.005346954313052792,0.004410270547714527,0.0034988887399724634,-0.00037066662892297096,0.0049236942419969175,-0.0036928445736195744,-0.00824268474654313,0.0027458260119615084,-0.006487616652808989,0.009475762231911593,-0.004839977942687897,-0.0006551564713660133,-0.0008293616525369889,-0.0004151998965003817,0.004748975119915869,0.001171952957844818,0.0016884132756139192,0.0007159763254936353,-0.0018086306172970792,0.002767491317499406,0.0004753014995331293,0.0019797693555132717,-0.0029319225377830746,0.0013546359863614728,0.00025520072933067265,-0.002740554862091049,-0.00032774830221809364,-0.0012045551226883178,0.0032246986040418597,-4.651203426999799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_043,243641,0.4635551936645705,0.18161380803121135,-0.02105559633584343,-0.03389220998330866,0.012573303560027891,0.007484599616437482,-0.010069288485034548,-0.0016208208048173194,-0.0035654870606305405,-0.02411849961438164,0.009849742801502628,-0.030523552065213573,0.0018211970865679352,-0.00861048267986385,0.031031492308092528,-0.003804819088138222,-0.007294356159815985,-0.02000287855466597,-0.029389784110462756,0.01786330303373859,-0.005864928841099485,-0.010454831704403441,-0.004444607842204505,-0.0058134119400669,0.0010381520575464692,0.00694183971938247,-0.002492661331094998,-0.004874487408744308,0.002621162587419293,-0.0014053651882399737,-0.001312123085130058,0.003239063041149794,0.004280772361613676,0.001575051675721476,-0.007343912588758912,-0.0022933283523163712,0.0022931919244230737,-7.21077596623566e-05,0.0026509826640166477,0.0013384481526316026,-0.0010287205526960217,0.0018024692411581914,0.00020464365472735354,-0.00019820184879232317,0.0001426227483342345,2.528441164615517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_109,243699,0.5210274662695192,0.20796540810450442,-0.02920565360006448,-0.028081075280007188,0.014999997650991135,0.03763086563993718,0.0066442178983519605,0.06624676472128024,0.0008512404155392975,-0.012473030327839708,-0.054706074213693515,0.01797219833164822,-0.029693191219945392,0.0433037133418307,-0.03402182857811643,0.010872724896704211,-7.22664841721554e-05,-0.04312526554862192,-0.02037130806623443,0.009106389086325044,0.0034683223965904864,0.013992995538509346,0.0015058636416042082,-0.008372600825492096,-0.007593538569325062,0.008437247489403454,-0.005708881666509261,0.03380630126890626,-0.003263703201861695,-0.00713945037826457,0.0013359982604407123,0.009982696349247196,-0.014740797997443385,0.005429685830472151,-0.0015312365616344283,0.000976634613391995,-0.0016989043408917213,0.001443888947969504,0.0010861548179167436,8.611630117566934e-05,0.00013255349774268587,1.2218849856134485e-05,-0.00022836824818436746,-2.4114690052256763e-05,-6.385537767342262e-05,1.8954509806383962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_130,243717,0.35261956924984783,0.23937815531244433,-0.02285695814714188,-0.048956985926493155,-0.04772744664882782,-0.18147263308048117,-0.05336587774243522,-0.013327760149105576,0.018265876599625606,-0.0024639466716356454,-0.0203334657480259,0.0024439764583279815,0.003132512814398974,0.021803522460715263,0.0050098770157309385,-0.008801560997542819,0.011226864123507442,-0.0028635847548467196,-0.04370977045970247,0.01351759407203588,-0.008445454558680166,-0.02679315554805835,-0.004827241286348385,0.0183998909018303,0.010116939089102515,-0.008772458445303076,-0.006436173110790401,-0.0019470384449891366,-0.008698135404311436,-0.0017365217406286521,0.0015682097263081097,-0.012592730348580565,0.0034785769735418406,-0.0015547754507811802,0.004963536756796038,-0.0006624872830644582,0.00026466888110070376,0.0017113607706190906,0.002389634469662338,0.0001517324334975764,-0.0007377319288699911,-0.0006358693773775253,0.0006615786904446709,-3.3426162205049354e-05,0.00020782139825679849,-2.130682714370949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_139,243725,0.47697989554496767,0.1945685441390925,-0.02746850561911491,-0.031094633071882344,0.009176613242252383,0.011552092227516644,-0.0022054656342127797,0.020666272064972773,0.002456538389231786,0.00447162469257018,0.009196287638797145,0.023564658319258948,-0.008449819731973781,-0.0005543708663172467,-0.0024631770645130763,-0.007155040680717997,-0.018864141796506098,-0.004414163678292684,0.01370839641841539,-0.0014843116793476713,0.013761975458083196,0.015524767908939946,0.01888128118488264,0.0027463269869723523,0.010611844421110971,0.01563911178630939,0.014925528752455081,0.005581416552277474,-0.007497275197069432,-0.005791525252504099,0.005830417760121468,-0.008436339473042415,0.015745433127990677,-0.007820325885159811,0.00954819272006459,-0.0040168867411762635,-0.001753710329717188,0.001933636984974107,0.005617845425799051,0.0011158039441953745,0.0022946088183599077,0.0014437923852282653,-0.00018485053158250877,-0.0008058090334604499,9.211257420578348e-05,3.353622008678829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_144,243728,0.4639128670066176,0.18913661821888894,-0.02291130330387972,-0.0285147927990706,0.016691425473835262,0.024612633122542363,0.0010010207802540845,-0.0030485917052884637,0.01051820380542783,-0.017544981911768735,-0.03843894731117933,-0.01758160381747703,0.030836305116574633,0.005830972388879398,-0.022264650561749408,-0.0162473272888627,0.027974805044103154,0.0037232368180374104,-0.004962838462525093,-0.014785452612161333,-0.00512698092629352,-0.00876232244367836,-0.0012695328034376487,-0.01682934953683272,-0.005049813912813092,-0.009475018220087499,0.0069602740909901345,0.0034806011239160353,0.0016589868559517057,-0.0018750688348575365,-0.004162771451485006,-0.013494787351653778,0.0017316693195497269,-0.004054355058990089,0.0027292013965955915,-0.002898614916212748,0.00020640534831624206,0.0009628958495536515,0.002628107514795813,0.00037350884905616396,0.0015548483176602628,0.000355878628020254,0.0004318107094952291,-0.0003517262376417623,0.00014372199383992114,1.1782233256793943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
