Site,Latitude,Longitude
Y1127,25.939799,-80.102427
Y1139,25.89083333,-80.09918333
Y1130,25.926757,-80.110514
Y1462,24.586526,-82.957628
Y1137,25.91001667,-80.10336667
Y1136,25.91048333,-80.10766667
Y1140,25.88973333,-80.10783333
Y1449,24.587022,-82.919129
Y2448,24.659733,-82.814892
Y2436,24.670453,-82.909123
YMQ23-38,24.43826,-82.41137
YMQ23-10,24.41917,-82.47943
Y2428,24.603804,-82.948022
Y3005,24.99308,-80.46524
Y1269,25.044604,-80.406069
Y1442,24.567552,-82.923769
Y1128,25.939719,-80.089446
Y1121,25.955998,-80.093815
Y1123,25.953816,-80.105817
YMQ23-28,24.45922,-82.25597
YMQ23-57,24.50277,-82.29808
Y1191,25.463196,-80.128375
Y1192,25.462411,-80.14586
Y1187,25.478133,-80.148519
Y1190,25.465032,-80.155994
Y1188,25.476893,-80.141032
Y1184,25.488817,-80.109287
Y1117,25.967297,-80.095726
Y1185,25.486373,-80.151561
Y1183,25.501192,-80.13953
Y1181,25.514452,-80.124331
Y1204,25.424906,-80.143068
Y1206,25.409023,-80.163758
Y1202,25.436577,-80.13155
Y1482,24.624188,-82.834759
Y1042,26.497742,-80.03687
Y1451,24.611745,-82.962521
Y1043,26.425216,-80.049564
Y1124,25.953738,-80.093333
Y1122,25.955133,-80.099814
Y1328,24.688638,-81.03623
YMQ23-27,24.45817,-82.16579
YMQ23-73,24.47318,-82.02544
YMQ23-36,24.47469,-82.15716
Y1073,26.136559,-80.090425
Y1076,26.120339,-80.095551
Y1135,25.918606,-80.106582
Y1133,25.920891,-80.111058
Y1321,24.713215,-80.972845
YMQ23-33,24.46832,-82.04002
YMQ23-40,24.47601,-82.20581
Y2454,24.609187,-82.873842
Y1282,25.007207,-80.429811
Y2442,24.700188,-82.832412
Y1479,24.67028,-82.892027
Y1273,25.031783,-80.382071
Y1292,24.950852,-80.554364
Y1291,24.953482,-80.548103
Y1297,24.938758,-80.491385
Y1301,24.896626,-80.544725
Y1299,24.903587,-80.550152
Y1302,24.887316,-80.562716
Y1311,24.774405,-80.740565
Y1310,24.778596,-80.735328
Y1305,24.836788,-80.726193
Y1108,25.982198,-80.096112
Y1119,25.959267,-80.111269
Y1107,25.985908,-80.112068
Y2322,24.61494,-81.393075
Y1134,25.919512,-80.107074
Y1132,25.921767,-80.106558
Y1105,25.991671,-80.09504
Y1106,25.986811,-80.112061
Y1039,26.523441,-80.033158
Y1036,26.57132,-80.026273
Y1327,24.68991,-81.029962
Y1333,24.652135,-81.025861
Y1315,24.73763,-80.899276
Y2313,24.664491,-81.075356
Y1329,24.684363,-81.047441
Y1331,24.667395,-81.066333
Y1319,24.717523,-80.960544
Y2304,24.710477,-80.948574
Y1309,24.782964,-80.763168
Y1313,24.752791,-80.761496
Y1312,24.757816,-80.78495
Y1298,24.934365,-80.549707
Y3066,24.576967,-81.44595
YMQ23-17,24.50456,-82.30259
YMQ23-25,24.44789,-82.31287
Y1170,25.626889,-80.095815
Y1173,25.588505,-80.094611
Y1174,25.571904,-80.126665
Y1175,25.567169,-80.101055
Y1176,25.538786,-80.11313
Y1177,25.535915,-80.113358
Y1286,24.983502,-80.439604
Y1179,25.528559,-80.135601
Y3068,25.46725,-80.14086
Y3067,25.48289,-80.14961
Y1284,24.994568,-80.442228
Y1285,24.990705,-80.465161
Y1268,25.045068,-80.394583
Y1213,25.376635,-80.172316
Y1270,25.042031,-80.391426
Y1283,24.997085,-80.439723
Y1287,24.969866,-80.446428
Y1288,24.957659,-80.534437
