sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
KL-PR-8,201554,0.001690795822043067,0.00423300982966998,-0.024317772137224754,0.0029641276323700357,-0.003586163396120883,0.00802295075572179,9.279068109562727e-05,-0.0008481783680598635,0.0031486135904094394,-0.00042063769001323206,0.0039958112056594835,0.002559145262773235,0.0016990113583763367,0.0006292010243372487,0.0037561725976315947,-0.004393848865861471,-0.00095001094226039,0.0017711289143964863,-0.0057610919649232215,0.008012102604881973,-0.009644575172206555,0.003132508939789711,-0.0022952534971560187,-0.002166108628659875,0.011710645576263373,-0.003091979329394692,0.009956064141212929,0.008671910003314253,-0.00889719305011792,0.007683969478484331,-0.004238911150985381,-0.0005592607222198342,0.004588484493405523,0.0011193748339719833,0.0008359419517244678,0.0006880882402637568,0.00038819611106215307,0.00014506374407105771,-8.65986096820143e-05,-0.00011402714596334686,-0.00010900837967219722,6.035632938202051e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-4,201558,-0.11294695812385311,0.09999616393687549,0.017133097001789017,0.052379799905676545,-0.017465346967165448,-0.018557520197923172,-0.016438026327558513,-0.024436550191358826,-0.0013907092309551105,-0.002092293734042711,-0.0016248361144896735,0.001445921659966437,-2.4886296082062092e-05,-0.00046749136361768127,-0.0011572930670494062,-0.004005473204734694,-0.0019273973741421788,0.003499561915608509,0.0007806259965769259,0.0035230089617736475,-0.005948767389134579,0.0031009365634775844,-0.0071641147488408505,-0.015034851752034952,-0.016873666182614367,0.0026736135639742584,-0.0038505536664776856,-0.0014445225164641815,-0.005058843904034877,0.0038424490909509685,-0.0013567700954629689,-0.00035703525320180817,0.0009046965819977819,-2.7344911421557323e-05,0.0001644027640903481,2.5020435024107944e-05,8.48094297423749e-07,-1.6153533809712165e-05,4.497782945633013e-05,-2.146390769907319e-05,1.192635757324411e-05,-6.27813717828376e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-27,201670,-0.08756930675627236,-0.08674449960669484,0.04510190110118229,0.017809767645592806,0.028592507242423595,0.001627196843079304,0.006131019719356911,-0.0016996222988380427,0.006366760806551175,-0.01383395217682879,0.001467243380597797,-0.012253526776153954,-0.0031260217005479995,0.0055577301988194395,0.013043497729294123,-0.0075243576955992715,-0.010589107858595119,-0.0011850908803882516,-0.005215411344963457,-0.0024444704284178973,-0.006074048286632126,0.007041622360430032,-0.0038089036523752907,-0.0028449778345774643,0.002294825464338184,0.00838539366791933,-1.859912380783957e-05,0.0077893876585505345,-0.003455353022085769,-0.010001490233832372,0.004022595590471578,0.0032919903057726805,0.0003096815757947948,0.0004863712675439402,-0.00031003285745711027,0.0010850361152209315,-0.0004807355962915167,0.0004940409324040967,0.00029174274750677474,-2.1701294530508666e-06,0.00013185723723405963,-5.841668188770755e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-257,201682,-0.03623135500376682,0.007525142808052334,-0.005383492209180242,-0.002213734100881739,0.010194656144420583,0.030660687996724972,0.0037222565250147163,-0.010524335873472781,-0.023754593119969934,0.010156752580477383,0.0013351096848602452,0.01794429628359788,-0.0024271832765942526,0.00586081124120646,0.021471788910390026,-0.032825684698708814,0.018598904029882388,-0.005750245881341138,-0.001327367616521884,0.006323142513242841,0.007572221791559957,-0.004927769981205306,0.004121819279116285,0.008656652551783614,-0.006868324727341341,0.00596695166957123,0.0009559611002329954,0.004487657137144929,7.52297092550936e-05,0.0014986621380633563,-0.001027397906086366,-0.0010391319992834073,-0.0008045936986285649,1.759609359582821e-06,-0.00010550424148707935,-0.0004732862332086993,2.8156770588905846e-05,6.446456988364228e-05,-6.287640158649713e-05,-1.75222760000134e-05,-4.872535197148982e-05,7.273897795822723e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-123,201779,-0.11613745654614038,0.0992874570863875,0.014497062127097173,0.028818695656582967,-0.008029222123137166,0.0024222232494108663,0.047043305373443804,0.07424213014942671,-0.003958430531164894,-0.0023146535648705295,0.0021280044307694255,0.0026483303612554747,0.009047944843724991,-0.0118222772195689,-0.015484708568133434,-0.018356263593017626,-0.0044356076920554835,0.0003241796578194629,0.001077900864089337,0.0009852926853366928,-0.0002693296697992611,0.000954686678079098,-0.0008857103610874477,0.0003746669662734919,0.0014273211972463005,-0.00019920631480219349,0.0004944354867578082,5.7802250759690586e-05,0.0014095118285982243,-0.0005034160519743086,0.00018939778194852365,-0.000201397277988847,-0.0003235478329177564,-4.365223375838166e-05,-9.001278561985939e-05,-6.995272958743861e-05,4.727988502754467e-05,-1.5874414151906655e-05,-3.109844729046851e-05,6.803211359166657e-06,-8.127437994764096e-06,1.0276055245921013e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-41,201675,-0.039769131713986175,-0.07874494299586256,0.021851064868781626,0.014474571144248218,0.005982428278325758,0.0012099920659203068,-0.0013319922615486854,0.0009548238565896278,-0.006487834707613048,-0.018851760636235924,-0.011602066180065063,0.01180437465113239,-0.0025594208459159954,-0.004784446479716336,-0.0067213236703227335,0.00568754189911126,0.003991959844165539,0.000845148414767692,0.0010333851142959368,0.0008706818599792453,0.0009881398722876495,0.0020444260871351743,0.0018448101959320897,0.0017855346953505942,-0.000797760969531303,0.006697242352969916,-0.008194548028955778,0.003241409376614906,0.006926987159678748,-0.0022968975888179237,-0.009244909122846857,0.0026385521811935517,0.00401958440116686,-0.0008464420743060274,-0.00034997183771675325,0.00047544919899583616,2.1102755588202105e-05,-0.0006134055549847778,-7.562663164956085e-05,-5.3424916901473416e-05,3.330697588105358e-06,4.2464334927464e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-29,201671,-0.09212173974501789,-0.10077266468487107,0.047598418140933324,0.023246683020627896,0.04345125860922972,-0.00360817867871946,0.00638447501982045,-0.001929712727366029,0.017340174379024652,0.025665319189053064,-0.008693688501002526,-0.02013072027755402,-0.010771385782600408,0.008779861200401346,-0.013572570602596775,0.0019671894936750044,0.0024000479779949825,0.001957481772295513,0.0043380783943818375,0.00244893411692683,0.00837221879945775,0.003289549632126017,0.0027170699031299796,0.0050764950320815365,0.0002385950205319828,0.0025540654554861014,-0.0013386337180270468,-0.0009689941226712207,-0.0007483208441356967,0.006569535308515568,-0.0027491310493007776,-0.002969893213768533,0.0006274936806791788,-0.0004450327760795949,-1.8576708994442318e-05,-0.0006160520742565527,0.0003435267867019976,-0.00012844109816641198,2.9412057366792823e-05,-2.5473979979941883e-05,-1.3401812959972076e-05,5.9593691641561976e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-59,201726,-0.06028301867975659,0.01539919418723463,0.007963136320063877,-0.012861435832920013,0.023751785040977785,0.02445987542724362,0.0066107470912437185,-0.014147236223854862,-0.0389189434821584,0.0364657166613319,0.002252976182955378,0.028156401584168572,0.01342516165671134,-0.011929968346335381,-0.013968497469319618,0.026067199521757154,-0.015898250822738193,0.005763811653421366,-0.002161618188107995,0.004964806876204622,-0.0011055942121517646,0.0019439856082617006,0.0013416224204674048,0.0015017105790802883,-0.0007432683579654207,0.0038556886568359696,0.0009233172832751434,0.003281096028481568,-0.0006971126767947329,-0.0010820808835174402,0.0012779789288972078,-0.0005582735947507879,8.122193088622562e-05,-2.8216804836132014e-05,-0.00015529550492104222,0.00010213575048712078,-5.1807815591816835e-05,0.00019652848579827011,0.00010083276852175836,-1.2731585682147634e-05,2.90940010188482e-05,6.719424729202712e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-98,201757,0.011539650633585558,0.0015941742732977237,-0.010864744125482653,0.005497797557622077,-0.0018704663970307137,0.013506707858139145,-0.01068701505275793,0.005550159353093326,-0.012838339558236088,-0.017487129843350175,-0.02409582763090201,0.016490484455843675,-0.01605672279794907,-0.0072560018122412775,-0.01857276173509377,0.006766558753284085,0.02657434462593929,-0.008029782569103272,0.0038193823423776836,-0.004403142205765844,0.0030433469085227186,0.0007111929272438519,-0.00040468141869204414,-0.005995728252476792,0.0026756695211517917,-0.004321219098981368,-0.0014072382296332025,0.0005695777530416561,-0.0018220101596435143,-0.0023745190422249218,0.002434450300100631,0.001913151630154562,0.0020609310973809724,0.0017265767790027424,0.0003599449408303901,0.0002369670001632485,6.729568471596855e-05,0.000646115588814096,2.85672990585274e-05,5.185390352157997e-05,-9.511963254416192e-06,5.315100415246834e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-025,201669,-0.06436708617076352,-0.041061418136927645,0.0321191206832253,0.00042664310372438795,0.02538046536197936,-0.013105023778561035,0.002060301072365789,-1.2928827049887252e-05,-0.0001385119799345945,0.0498026331915548,-0.006168259264949643,-0.01285780086174712,-0.012046605763775602,0.0062976016586090726,-0.008056927829456197,-0.008711110021813503,0.011991228087873944,-0.00015136963501189473,0.0025075295456104887,-0.0012230566345256802,-0.0023150709408168504,-0.0026921313499106503,-0.0025864949129160604,-0.0057678479967271925,0.0010325308126580095,-0.007460911100846323,0.001665836124404501,-0.0022994763714141485,0.0001897071234243965,-0.0023597883519629213,0.001958380661535657,0.0021532410031021554,-0.00043961829914854737,0.0004672486341190329,0.00025099181310856095,0.0005663506759733018,-0.00019873754665933354,7.317471047555546e-05,-2.314250860163096e-05,2.6541896167020176e-05,2.5982571400924703e-06,-9.232258546815548e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
