sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
CR-43,201432,-0.3565267589156996,-0.16377738419268217,0.1202413997343324,0.23706138249489214,-0.20970021897889532,0.02359209432457166,0.057748376289767075,0.05184666118124953,0.0674627509359554,0.01464523205078804,0.0008191613821800834,0.0016964366403547358,0.011939025884024424,0.030966354205117973,-0.004931226311859976,0.030510196569181674,-0.0010582277139866826,-0.006229090849414874,9.762141665015943e-05,-0.000178824353881933,-0.003988422748975177,-0.007120998370424792,-0.007502983398424628,-0.00918144638468481,0.005656997927523534,-0.0023511600592501813,-0.03745574345398634,0.018926991399899618,0.01269189954827229,0.004956442112564006,0.0034215551598047833,0.0028835449129990076,0.0026977230828680843,-0.000623389650566539,-0.021586244922438498,0.00383259123131812,0.003511762875254224,0.008127715132611383,-0.0029088548885739395,-0.009806301225728203,0.002999791470125421,-0.008635346337617948,0.012994835376997525,0.0029970268988639007,0.0010230715699598811,-0.017717681857694456,0.011778354397283397,-0.014438817463500125,0.014616350954915605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-36,201439,-0.33911980222114746,-0.15294908909298166,0.12753071879330558,0.2637431954730487,-0.22195983427302934,0.027083005883460107,0.057893617247230404,0.03855628612226674,0.056536121897307084,0.015269355827770545,-0.0010539502108737361,-7.014851034587661e-05,0.009097124685435842,0.03142504593824986,-0.0007349608051414983,0.03283574048409785,0.001332671654100713,0.0007973809178579396,0.000537261441510928,0.0037991265316259628,-0.012344629088026532,-0.01969833954421159,-0.002658127484789557,-0.012332490013248144,0.01622315015468665,-0.006647462578955367,-0.05926800412100888,0.024908067816540324,0.03180267539052074,0.005667122203101246,-0.02890078615718262,0.011798435512294383,-0.0027965034999857087,0.002505911364993813,-0.01374646508217632,-0.013122306619185748,-0.028129943426482572,0.012632935777073393,-0.0013955645561726645,-0.009713730779343661,0.007943631612621552,-0.02613376539809358,-0.015113749254827303,0.0002602820897996912,-0.005523525581173877,-0.04191686553883382,-0.007018903446492273,0.005467168691632126,-0.011542235289063308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-41,201441,0.4878201380723289,-0.2895345613948643,-0.011293402037799783,-0.020409125411576787,-0.020099819526939084,-0.003875210407360236,-0.0014033337553486622,0.0020869709580800676,-0.008208881240857942,0.009083913526318408,-0.011185972855804622,-0.01796302157384402,-0.004417964243288689,0.015446806844973189,0.0011959892066573882,0.0037875125283653045,0.00014471813007669495,0.00491212237473884,-0.0032980895699479345,-0.001623918433200324,0.0034679590430175657,-0.00015246975459760396,0.015436196389200347,-0.0443846657765966,-0.005787833340219937,-0.00432729830464258,0.009709168228290953,-0.005169723156109031,-0.003278980692684838,0.0052777243532211955,0.008766245590877474,0.04339158334197977,0.002874639124617649,-0.02026583628817393,-0.01557481041750288,-0.09457446847923265,0.05303137320334307,0.01301914591770475,0.0004269200786022195,0.01762527718523387,0.03333210659845022,-0.001576282318765565,-0.001687588297614342,-0.028446995771646513,-0.04652352079829875,0.004145748421337106,0.007045775605046811,-0.00010889271869784906,-0.00010613654289961233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-45,201442,-0.40223398674516825,-0.1961673110159461,0.02639784925706877,-0.15396419994577715,0.07079784054884193,-0.021829452159754355,-0.12033936977606491,0.06904303077546722,-0.027513574897411755,0.0003525294093794411,0.029206064536275937,0.012911276390189196,-0.010461517896502775,-0.030250052391936545,0.005742310713839207,-0.0340114377501753,-0.001059611658902625,0.001596099388348915,-0.0026690193755842476,0.006138810496422013,0.0010110750984672766,0.0008628395322251066,-0.021885018161484946,-0.015271945445214012,-0.0177001119179085,0.001137107559144512,-0.04632559815801618,0.029119073291696475,-0.03537804364904137,0.005277161727204418,-0.018229596758089116,0.005104797026263798,-0.008063539771019796,0.004397849491406932,-0.047687549353564146,-0.0023310544757642903,-0.0191648780752666,0.03177458734509273,-0.004880861658856161,-0.03938132651588578,0.011108618556565674,0.05221151342629131,0.02126761879375002,-0.0075861974071123675,-0.002609921967071764,-0.003041681407130493,-0.01260222823304371,0.014371581318880269,-0.0035067928969833135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-54,201443,-0.35451221477807376,-0.16309555910353996,0.11707208866035404,0.22563218374945915,-0.22227445303268215,0.035401152649345576,0.055756332714839714,0.050593115727975105,0.07616018582969807,0.013202461903793341,0.0002881718365144413,0.0013799885271084636,0.008967138673176186,0.03189607357717305,-0.0015504579538661051,0.030717981113808628,0.0001503327047440009,-0.004708961494763686,0.00025525484000060234,0.0005085519623578841,-0.0035613605120292987,-0.005494667985443388,-0.0026248797135635152,-0.006304162388014926,0.0017307754630185364,-0.002303274856115811,-0.03482180228939171,0.015720540119837145,0.0059262961949153765,0.0056704757232190085,0.0024233934095813634,0.004089042288362915,-0.0025242527690983647,0.0027005454019957244,-0.023876376805633016,0.00017023728391966713,-0.009265659313465896,0.012216368138803878,0.008057931575460059,-0.017793711829908118,0.012363826171808723,-0.03351251762423315,0.0016697591112319957,-0.00018534551824592616,0.007450772341696709,0.051239769970503765,-0.0013766987358868066,-0.0011612318388010742,-0.006822511155068088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-55,201444,0.5011430508076875,-0.28638928018093157,-0.00469624823776519,-0.028159143682003666,-0.024008440184565407,0.0025013897873299566,-0.003944786859382869,0.003043803389019108,-0.007379788944683535,0.013495527659431317,-0.00670922666916121,-0.01373432372995183,-0.002136198258895719,0.014542992691906818,0.000197763591516082,0.015189296337762559,-0.005336137417692569,0.01865530025240645,-0.0012039799398545835,-0.03548635171064022,-0.008719035699224121,0.009770386965545799,-0.0029902818127614094,-0.036174396632389444,-0.0022698843942265887,0.003130028475534796,-0.002377077417256667,0.0030230325845706928,0.0014873104749521698,-0.004234902430855619,-0.00629758030493474,-0.05191093615755354,0.004512980232337229,-0.019406667340831206,-0.011543578834824975,0.0023934442223434243,-0.02950165240088181,-0.08412746241102359,-0.0012696479319426646,-0.055298248434718374,-0.010308235277762312,0.00924658535017039,-0.00883503716113812,0.03324060732303063,-0.01064738153653679,0.0016035144304107432,0.023849346611920893,0.004676141535096295,-0.0037706489144752804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-50,201450,-0.2798868101972928,-0.11558951328852239,0.005046880928684224,-0.02400942673610105,0.03400441508085501,-0.010091381634064688,0.08048539572281409,0.19234627088521136,0.33517486659956724,-0.0034181830044376963,0.002533341722598299,-0.001773586126122195,-0.042968517288437105,0.03397861127990122,0.07083586383649933,-0.004158163407012913,0.025477489810413482,0.10056035675016192,-0.013121831547869047,0.0008420207413929145,0.01979811611637022,0.009381113244917954,0.04888845494134971,0.047389225056349904,-0.07662737807012127,0.002738985016501347,0.1338561467876712,-0.05901524696774277,-0.1781957923352149,-0.01969295377891937,-0.011097367512073129,-0.015736123997877192,-0.017145457462654192,0.00902026404367511,-0.004394624752269072,5.8334874848645595e-05,-0.004811030189187211,0.005093941816085961,-0.0019130225547591378,-0.004979654250758815,0.002207972159992645,-0.002619857709582685,-0.0007213460009775022,0.00016520163562258947,-0.0006748787258979809,-0.0038663492030349025,2.605295778127508e-05,-0.0003894961155034834,-0.00040326601634536896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-57,201454,-0.3943796554160291,-0.1645543238779525,-0.0979167880647023,-0.14049230172012667,0.06758297153354678,0.0005730331138959184,0.08349389175617739,-0.13214453004345206,-0.07762399221200683,0.014067998936612914,-0.03842895726984648,-0.020805210929716836,0.02737528336570975,0.03909502928657042,-0.04187007596494207,0.051833200704462054,-0.0031146885407400955,0.01429385161319853,-0.0039131540863578404,-0.00040265979058207147,-0.0011391368145452416,-0.023095245496650128,0.013376945605545938,-0.008756044560712068,-0.01359159714878341,-0.01330891501238748,-0.10044820551946583,0.05029169708084665,-0.07159078487110049,0.004016841883319471,0.01179627191289584,0.0026186138164877044,-0.03861494150508341,-0.0013469546706998076,-0.03069723595226207,0.012105571594669125,0.023560500973999716,-0.005745180606529973,2.9395992759998004e-05,0.016208385138999113,-0.009954874626524932,0.014657336138087649,0.02867076594863461,0.006397930133056816,-0.0017118296543211274,0.0039824622581293885,0.0023701822870747145,0.0013077855003858288,-0.0004057911625905978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-59,201456,0.07026675173383494,0.3064380706237938,0.005270024463395845,0.02937500698446179,-0.013492987157830795,-0.07557814896167714,-0.19095677644821488,-0.03836378561867246,0.09376464277593746,-0.28516479163998415,-0.18678884115078007,-0.16483136524946973,-0.05478025260789088,0.14303244414501018,-0.167176394887326,-0.08927439128333259,0.23717474808097963,-0.09288309272984877,-0.07878965270558926,-0.018410350450082543,0.03645967176107071,-0.004043680601175543,0.07401629919726785,-0.001493694258108918,0.007367649114072804,-0.021877016116510495,-0.03797648968311432,-0.05196039272690955,0.0015000965459582459,0.040211674615320755,-0.012375717519800248,-0.01883435680153426,0.008463384796330724,0.021119318529529824,-0.003491481953785425,0.006095571900613738,0.0059235706589306535,0.0022231152205844686,0.000240914813343766,0.0008360425743037401,-1.8332746896889412e-05,0.00024922402848220643,0.00016661444019229146,0.0008684341103323107,-0.00044983230746530506,-0.00013960725894201145,0.0013860887152959938,0.0002491157331941386,-0.00026250797195301215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-44,201503,-0.2074743613300235,-0.07083250296017088,0.09346659559528854,0.19931684004163439,-0.10799612531039561,0.029746413652008183,-0.06370068170257388,-0.12265621038637782,-0.15908532041289097,-0.003858384301330549,-0.008308886192379666,-0.023924518134066257,-0.06297050707915147,-0.2039876405061936,-0.027267661571530877,-0.3046889587143381,-0.009107215261937548,0.22036872030842342,-0.05558739316664604,0.015123671147436407,0.13452977493273632,0.09317437033198517,0.0008642177293266216,-0.00946544435912536,-0.009064375870573018,0.0021925753014016953,0.022991623361581632,0.00332254349388368,0.0038571234466608724,-0.011108741936590463,-0.012240285822469416,-0.0023860052312607615,-0.00586617840883151,-0.01212555645122495,-0.009479935656051987,0.015190411435650761,0.01601366540530303,0.0035244420768232886,-0.0004450333389304682,-0.006370840481682068,0.001999921452234409,-0.0019482737128177564,-0.004710493794652072,-0.00016115390305098456,0.0006508611528756798,0.0005395344569091803,0.0007409707883291034,-0.001445516277363515,0.00045534477415596475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
