pixel,slope,se
6314,8.227309308273348,0.5768976514602214
6315,8.273689170608575,0.5277764627742545
6316,8.332044183007493,0.5135650464480435
6317,8.46076345806905,0.522703520067336
6318,8.198319927379258,0.5415386510920733
6319,8.17867822654232,0.5721478478725412
6320,8.148181331220927,0.6077329873974574
6321,7.952750295220243,0.6282240343648712
6322,7.928513146300372,0.5865162881050701
6323,7.894310300521182,0.6368998452978751
6324,7.8604948852451315,0.6109560108501161
6325,8.004077202746466,0.6108440950326556
6326,7.9569676794630055,0.5753865471542043
6327,8.022858460428761,0.5976548490143452
6381,9.656126779333066,0.9725961141615104
6382,9.684451371989514,1.0467348685055309
6383,9.615899358015321,1.0476405379741718
6384,9.439459620539761,1.001104650144636
6385,9.27798175725366,0.9353936372142142
6386,9.427688937445906,0.9514090350352657
6387,8.83715225274435,0.9178385203312233
6388,8.904637530957423,0.940055007225828
6389,9.097749338037751,1.026135012420287
6390,8.559054770132164,0.8686106832294459
6391,8.749358285070922,0.8763680474571002
6392,8.278364750581137,0.7946014445201581
6393,8.6375932698298,0.760830772558389
6394,8.472422688295062,0.755816205137922
6395,8.563571970703073,0.7542986343498489
6396,8.77645649602711,0.7181399164529723
6397,8.664195316032641,0.6828174125670688
6398,8.841537778126428,0.6982697598623329
6399,8.820643276461876,0.6937344019860875
6400,8.666928325992233,0.6441744020457242
6401,8.600063901119707,0.635776575124746
6402,8.660388611385569,0.6313938313959129
6403,8.358180364279468,0.6209061363551753
6404,8.299212666417263,0.631656487369776
6405,8.26305157510779,0.6089943223584561
6406,8.140902492210598,0.59575067654825975
6407,8.49711608666005,0.6014876707041285
6408,8.529045528336098,0.6014998470290701
6409,8.684071344276871,0.626608406013357
6410,9.113731717986866,0.5887348286763798
6411,8.895861917612285,0.6067450137439341
6412,8.990028275294012,0.6386809046195471
6413,8.858641050246197,0.6859228637380799
6414,8.934713817646339,0.6522238592822008
6475,9.224001469149844,0.961778467663348
6476,9.397040041522878,0.9810049708029688
6477,9.124706673565152,0.9366086785212202
6478,8.965395539588522,0.9851473168003979
6479,8.79834707276105,0.9984241156180381
6480,8.880000264128302,1.0552574020370113
6481,9.158436348805195,1.1264792676099749
6482,8.79202719498093,0.9605609752694874
6483,9.181387203088,0.9769728221371495
6484,9.364916818363547,0.920472008165632
6485,8.736294851344091,0.8136185674047005
6486,8.92147714140371,0.8074248537384398
6487,8.856445219303321,0.7473577173595183
6488,8.860270231175113,0.7435228961113997
6489,8.412581969738602,0.7566118564322224
6490,8.635230570418582,0.7408979905840766
6491,8.537091662600664,0.6889621118752373
6492,8.545627661481829,0.6695437449074222
6493,8.53103745318636,0.7053324347212888
6494,8.636601416490532,0.632491225627617
6495,8.39531597707954,0.6454150277707311
6496,8.30312290755025,0.6571015153605021
6497,8.625109711324184,0.6723254574522635
6498,8.663723730096352,0.6742968584534748
6499,8.610158218970037,0.6906777240701226
6500,9.39964666896684,0.6214165740801194
6501,9.679095854198312,0.6780669451627214
6569,8.770107279361762,0.9110023468620768
6570,9.016136018390307,1.0237551116511014
6571,9.000134211490249,1.0784024379843065
6572,9.150701611244562,1.0255200184597222
6573,8.68258812216181,1.0215956719417263
6574,9.50241088900837,1.0082252190577674
6575,9.547013906456284,0.9358831216272393
6576,9.566735118424777,0.909174631740627
6577,9.389555895710235,0.8769537058023438
6578,9.187455076758754,0.9279823818052152
6579,9.013943775810858,0.8748302250114929
6580,8.796474049565715,0.8824522694554668
6581,8.700604565726396,0.885207084034728
6582,9.211023692495003,0.8649293364088473
6583,8.539686589796734,0.8985485994354739
6584,8.876516708188264,0.8122356621891824
6585,9.228460353132043,0.8014890928631783
6586,9.42681591626084,0.8505725868208303
6587,9.231143181867663,0.8873413496752018
6588,9.77075459021501,0.7708357888592883
