sample_name,host_genus,host_species,date,era,subregion,site,latitude,longitude,depth,dominant_clade,A,B,C,D
KL-377,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.02294703420406985,0.9740222254293549,0,0.0030307403665752633
KL-378,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.11826741996233522,0.8572504708097926,0.01694915254237288,0.007532956685499058
KL-379,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.08169596690796277,0.8857290589451916,0.021199586349534644,0.011375387797311273
KL-396,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.15118317265556527,0.6507449605609115,0.018843120070113933,0.1792287467134093
KL-400,Orbicella,faveolata,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.008498583569405098,0.002301699716713881,0.004957507082152974,0.984242209631728
KL-403,Orbicella,faveolata,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.0011638056444573757,0.002036659877800407,0,0.9967995344777423
KL-406,Orbicella,faveolata,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.0011947431302270013,0.18000796495420152,0.006371963361210673,0.8124253285543608
KL-41,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.716536,B,0.013161491896114041,0.8958406561218512,0.07787541495801602,0.013122437024018743
KL-413,Millepora,complanata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,22,B,0.010801665799062988,0.9891983342009368,0,0
KL-414,Dichocoenia,stokesii,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,22,B,0.002961865975564606,0.9970381340244353,0,0
KL-415,Pseudodiploria,clivosa,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,23,B,0.001321003963011889,0.9986789960369882,0,0
KL-416,Madracis,decactis,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,20,B,0.0033105731429753774,0.994620318642665,0.0012414649286157666,8.276432857438444e-4
KL-421,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,23,D,0,0.29121970599920555,0.003575685339690107,0.7052046086611045
KL-422,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,16,B,0.006124721603563474,0.8741648106904236,0.11748329621380846,0.0022271714922048997
KL-423,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,19,B,0,0.9976145038167942,0.002385496183206107,0
KL-424,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,24,B,0,0.5211816263593574,6.492452523940919e-4,0.47816912838824865
KL-425,Stephanocoenia,intersepta,20020925,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,21,A,0.9961474036850921,0.0023450586264656616,0,0.001507537688442211
KL-426,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.0833014170815779,0.9078896974339334,0.007085407889697434,0.0017234775947912676
KL-427,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.019621486223211793,0.9768995268577791,0.002504870581686613,9.741163373225717e-4
KL-428,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.009316770186335404,0.9754376058723885,0.011857707509881422,0.003387916431394692
KL-429,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.010840560373582386,0.9773182121414277,0.008839226150767179,0.003002001334222815
KL-430,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.08702882483370289,0.8736141906873615,0.026053215077605323,0.013303769401330379
KL-431,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.019932622122403144,0.9722066254912971,0.007860752386299831,0
KL-45,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.388452,B,0.0032380151387720775,0.844196804037006,0.15218671152228763,3.7846930193439864e-4
KL-49,Dichocoenia,stokesii,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.716536,B,0,0.9961559582646898,0.003844041735310269,0
KL-5-foamy,Colpophyllia,natans,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,28.543308,B,0,0.9999999999999999,0,0
KL-53,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.388452,B,0.004976114649681528,0.9918391719745221,0.0031847133757961785,0
KL-56,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.388452,B,0,0.9932614555256065,0.006738544474393531,0
KL-587,Millepora,complanata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,24,B,0.003894687646050787,0.9951705873188971,9.347250350521888e-4,0
KL-589,Colpophyllia,natans,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,14,B,0.010635155096011817,0.9856720827178727,0.003692762186115214,0
