sample_name,host_genus,host_species,date,era,subregion,site,latitude,longitude,depth,dominant_clade,A,B,C,D,Species_raw,Species
KL-244,Diploria,labyrinthiformis,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,12.139108,B,0.2025174476570289,0.7968594217347956,4.154204054503157e-4,2.0771020272515787e-4,labyrinthiformis,DLAB
KL-245,Colpophyllia,natans,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.170604,D,6.748397255651782e-4,0.01883927567202789,5.623664379709819e-4,0.979923518164436,natans,CNAT
KL-247,Siderastrea,radians,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,12.139108,B,0.232163279669218,0.7623823348288907,0.0028151667106536406,0.0026392187912377906,radians,SRAD
KL-248,Colpophyllia,natans,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,B,0.00722504682900722,0.5003121933815003,0,0.4924627597894925,natans,CNAT
KL-249,Solenastrea,bournoni,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,A,0.822873553509587,0.16530112340569303,0.00430779626657656,0.00751752681814342,bournoni,SOLE
KL-250,Diploria,labyrinthiformis,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,A,0.5338266812244734,0.4654858667960693,6.874519794573173e-4,0,labyrinthiformis,DLAB
KL-252,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.154856,D,0.0159223044397463,0.05219344608879489,0.00323731501057082,0.928646934460888,faveolata,ORBI
KL-253,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,D,0.0015417823003391902,0.010021584952204742,0,0.9884366327474561,faveolata,ORBI
KL-254,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.48294,B,0.0632992327365729,0.9085677749360614,0,0.02813299232736572,faveolata,ORBI
KL-255,Siderastrea,radians,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,B,0.3465753424657535,0.6424657534246574,0,0.010958904109589041,radians,SRAD
KL-257,Porites,astreoides,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,C,0.01950612160199211,0.26271010583108523,0.7177837725669227,0,astreoides,PAST
KL-27,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.16798,B,8.498417536045013e-4,0.9241003399367015,0.07504981830969405,0,labyrinthiformis,DLAB
KL-29,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.152232,B,5.148977069888784e-4,0.9573664698613209,0.042118632431690256,0,labyrinthiformis,DLAB
KL-33,Pseudodiploria,strigosa,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.480316,B,0,0.9781703235403496,0.02182967645965042,0,strigosa,PSTR
KL-339,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,12,B,0,1,0,0,intersepta,SINT
KL-342,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.004359756097560972,0.6332926829268293,0,0.36234756097560983,labyrinthiformis,DLAB
KL-343,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.0010932322093539597,0.6647876738068396,0,0.33411909398380646,labyrinthiformis,DLAB
KL-344,Porites,astreoides,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,A,0.9996779258424252,3.220741575747816e-4,0,0,astreoides,PAST
KL-348,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.07029080812509135,0.9052316235569194,0.02192021043402017,0.00255735788396902,intersepta,SINT
KL-349,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.34810031536266706,0.6083496020423488,0.02733143114581768,0.01621865144916653,intersepta,SINT
KL-35,Colpophyllia,natans,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,30.839896,B,0,0.9992572944297082,7.42705570291777e-4,0,natans,CNAT
KL-360,Porites,astreoides,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,A,0.9569332702318979,0.010601041173686704,0.002650260293421671,0.02981542830099385,astreoides,PAST
KL-366,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.0036243643838580505,0.11982040463053122,0,0.8765552309856107,labyrinthiformis,DLAB
KL-367,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,8.043973723019169e-4,0.061804531438530604,0,0.9373910711891674,labyrinthiformis,DLAB
KL-37,Pseudodiploria,strigosa,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.496064,B,0,0.9976438492063492,0.0023561507936507905,0,strigosa,PSTR
KL-374,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.0995354354057527,0.8791143619650095,0.01532074725709202,0.00602945537214589,intersepta,SINT
KL-375,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.057053733145502085,0.9335882471322198,0.007043670758703958,0.0023143489635741497,intersepta,SINT
KL-376,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.029741077676696977,0.967109867039888,0,0.0031490552834149686,labyrinthiformis,DLAB
KL-377,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.022947034204069853,0.9740222254293549,0,0.0030307403665752602,labyrinthiformis,DLAB
KL-378,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.11826741996233527,0.8572504708097929,0.016949152542372888,0.007532956685499053,intersepta,SINT
KL-379,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.08169596690796276,0.8857290589451914,0.021199586349534637,0.011375387797311268,intersepta,SINT
KL-396,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.1511831726555653,0.6507449605609116,0.018843120070113933,0.17922874671340933,labyrinthiformis,DLAB
KL-400,Orbicella,faveolata,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.00849858356940509,0.00230169971671388,0.00495750708215297,0.984242209631728,faveolata,ORBI
KL-403,Orbicella,faveolata,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.0011638056444573698,0.0020366598778003998,0,0.9967995344777422,faveolata,ORBI
KL-406,Orbicella,faveolata,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,D,0.001194743130227,0.18000796495420152,0.00637196336121067,0.8124253285543608,faveolata,ORBI
KL-41,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Outer Reef,25.11186028,-80.28582764,17.716536,B,0.013161491896114041,0.8958406561218513,0.07787541495801603,0.013122437024018743,bournoni,SOLE
KL-414,Dichocoenia,stokesii,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,22,B,0.002961865975564601,0.9970381340244354,0,0,stokesii,DSTO
KL-421,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,23,D,0,0.29121970599920555,0.0035756853396901,0.7052046086611045,faveolata,ORBI
KL-422,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,16,B,0.006124721603563467,0.8741648106904233,0.1174832962138084,0.0022271714922048893,faveolata,ORBI
KL-423,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,19,B,0,0.997614503816794,0.0023854961832060996,0,faveolata,ORBI
KL-424,Orbicella,faveolata,20030522,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,24,B,0,0.5211816263593574,6.492452523940919e-4,0.47816912838824865,faveolata,ORBI
KL-425,Stephanocoenia,intersepta,20020925,2001-03,Upper Keys,Pickles,24.98698044,-80.41486359,21,A,0.9961474036850921,0.0023450586264656603,0,0.0015075376884422101,intersepta,SINT
KL-426,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.0833014170815779,0.9078896974339334,0.00708540788969743,0.00172347759479126,radians,SRAD
KL-427,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.019621486223211786,0.976899526857779,0.0025048705816866097,9.741163373225714e-4,radians,SRAD
KL-428,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.009316770186335402,0.9754376058723885,0.011857707509881422,0.0033879164313946903,radians,SRAD
KL-429,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.010840560373582381,0.9773182121414277,0.008839226150767172,0.0030020013342228103,radians,SRAD
KL-430,Siderastrea,radians,20030523,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10,B,0.08702882483370289,0.8736141906873615,0.02605321507760532,0.01330376940133037,radians,SRAD
