pixel,Species,dens_m2,w_pixel,lon,lat
2527,SRAD,0.03333333333333333,0.0030247583344122394,-80.02500271389825,26.674999547620786
2527,SSID,0.15,8.097656424167958e-4,-80.02500271389825,26.674999547620786
2618,AAGA,0,0,-80.02500271389825,26.624999548468733
2618,ACER,0,0,-80.02500271389825,26.624999548468733
2618,AGAR,0,0,-80.02500271389825,26.624999548468733
2618,APAL,0,0,-80.02500271389825,26.624999548468733
2618,CNAT,0.005,0.0016870481647663117,-80.02500271389825,26.624999548468733
2618,DLAB,0,0,-80.02500271389825,26.624999548468733
2618,DSTO,0.025,0.005429162930375776,-80.02500271389825,26.624999548468733
2618,EFAS,0,0,-80.02500271389825,26.624999548468733
2618,HCUC,0,0,-80.02500271389825,26.624999548468733
2618,MANG,0,0,-80.02500271389825,26.624999548468733
2618,MARE,0,0,-80.02500271389825,26.624999548468733
2618,MAUR,0,0,-80.02500271389825,26.624999548468733
2618,MCAV,0.18,0.0059165433707613355,-80.02500271389825,26.624999548468733
2618,MDEC,0.01,0.003012318229904432,-80.02500271389825,26.624999548468733
2618,MMEA,0.034999999999999996,0.02253450767337454,-80.02500271389825,26.624999548468733
2618,MYCE,0,0,-80.02500271389825,26.624999548468733
2618,OCUL,0,0,-80.02500271389825,26.624999548468733
2618,ORBI,0.01,6.558825949042239e-4,-80.02500271389825,26.624999548468733
2618,PAST,0.12000000000000001,0.0011608224298278662,-80.02500271389825,26.624999548468733
2618,PCLI,0,0,-80.02500271389825,26.624999548468733
2618,PDIV,0,0,-80.02500271389825,26.624999548468733
2618,PFUR,0,0,-80.02500271389825,26.624999548468733
2618,PPOR,0,0,-80.02500271389825,26.624999548468733
2618,PSTR,0.005,0.00191014191215828,-80.02500271389825,26.624999548468733
2618,SCOL,0,0,-80.02500271389825,26.624999548468733
2618,SINT,0.1,0.001493649790566247,-80.02500271389825,26.624999548468733
2618,SOLE,0.01,0.0023576840079267292,-80.02500271389825,26.624999548468733
2618,SRAD,0.02,0.0018148550006473437,-80.02500271389825,26.624999548468733
2618,SSID,0.27,0.0014575781563502326,-80.02500271389825,26.624999548468733
