sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79
KL-CP-10,201459,-0.0735019427302693,-0.05442491074071622,0.0036434758850238053,0.00548742505377253,0.021804770009619077,-0.02578450552793603,0.019779351074728956,0.002354483227110527,-0.038588574167480176,0.04554860734386762,-0.025438201432923167,-0.017665326687114687,0.03410837808587779,-0.0008439171446003088,0.003795163033537612,0.013855065460572583,-0.0026860278224433713,0.028815820567657073,-0.01347733167696488,0.009683434915467953,-0.0036844515300442954,0.012619238604203945,-0.01739097983935803,-0.006211257187227588,0.003734920211088464,-0.009584498995657262,-0.009670215159160818,-0.011291720921440119,0.006539597379320702,0.008568173127326042,-0.002528081105498251,0.012354883256592864,-0.004520849502717128,-0.007209921144262823,0.006955744988087552,-0.0025459978864718603,-0.0024170392032967364,0.0018018054600927825,-0.0007347915608583368,-0.0010112114463005307,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-12,201461,0.05722323306961431,0.18406950761309243,0.03248231695370202,0.019700845659102604,-0.03267898903376396,0.01893301705592492,-0.05957290530147408,-0.021436207440740807,-0.06768907402608508,-0.03286253042503022,0.01729403011163428,0.022654114322518116,0.017146785944817073,-0.026967485362972946,-0.013151772004702258,0.009423047299998374,0.0010777646569007278,0.015441452814506713,0.013629776252375657,-0.010962005957452671,0.0013956051987312292,0.003697015760792502,-0.014169408594171382,0.002310595789332208,-0.020652638403555922,0.009760247535853321,-0.0028651085898156008,-0.03277307622103901,-0.0006195094088904703,0.008935188858166057,0.007667454433487271,-0.00017026432752799834,-0.0019716558035612094,0.008751222014771751,-0.0026043344428043156,0.0022666210306220053,0.0005225010252220898,-0.0012899587383506262,0.0006182851928388927,7.793838783566084e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-2,201462,0.014754132988017976,0.05959125971194811,-0.04701447430297997,0.029514465303269902,0.012724807283311497,0.11677480000039842,-0.049955455551028725,-0.05173055422737144,-0.047274922825542166,0.05513173901959339,0.09688865914460888,-0.069649410075391,-0.043587111660913946,-0.06121971681900047,0.03541114643390858,0.05661592871101771,-0.02470105906751202,-0.03476308518620898,-0.02921420651180819,-0.02989511969193369,0.001100268546388886,0.018418435382636062,0.02683196325924677,0.023932132658058637,-0.010476698613800751,0.006108262860687098,-0.01158987823169366,0.005788252688714884,0.006461801483267797,-0.002645583610391999,0.0009198082452509348,-0.00979829956930302,-0.002444679970728219,-0.0009490008449356915,-0.0005170230833783916,-0.0028157346842241624,-0.00013727824751223627,-0.0011109469753361292,-0.0003115130186837887,0.00020952321512843151,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-5,201465,-0.07504177884197803,-0.0690637411334447,-0.011282215683817124,0.006423934544815995,-0.00332078837312594,-0.0032808498405753925,-0.009800304228401792,-0.032773662128267614,0.015062606381774717,-0.015863127474506262,-0.008287244583255813,0.02734779273293337,-0.016940156834767867,-0.017933122175496915,-0.014242991541655441,-0.013190081749680638,-0.023318874120713904,-0.00814644182812509,-0.008895496679480397,-0.006974602470524129,0.02735217473356824,0.02905338593829414,0.01145487084701387,-0.022483036744774403,0.006457997891792658,-0.004265880647224218,0.0028870400458473264,0.00034141610942797844,-0.002244504967425262,-0.004493006180466314,0.009157780399062603,0.004886742127130252,-0.014075835131182376,0.00037072888930373343,0.0035509732007360326,0.006115334318610947,0.004026680989083804,-0.001044167762558249,-0.00032340659480179136,-0.000616309478413078,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-8,201468,-0.07123360911604829,-0.04825216068828196,0.02547179839246976,-0.010727692872557497,0.010805459138742951,-0.018722377513897694,0.01347024669020215,0.005730440191163123,0.005666325054761961,-0.021056854672846126,0.021988534913953695,-0.005417797758937769,-0.034409721450928944,-0.007958072759604513,-0.003048365518802472,-0.01640495769940039,0.018154303651489418,-0.0033641838531033516,-0.021637856033372576,-0.008713197380121832,0.006442467677060722,-0.015948314572962294,-0.0027632051445875645,-0.0009472227381212471,0.014882105323887389,0.0013548789912506247,-0.0033967627018018035,0.002259133004105162,-0.005866530996051429,0.007966312495327957,0.0007855701501307002,-0.005305468319729815,-0.024548564561619315,0.0044887085163925,0.008020291161910503,-0.013854081094094665,-0.002739708937904587,0.004053900826857141,0.002039252485537758,0.0004956904461486159,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-22,201471,-0.06418025409377952,-0.018746167030910994,0.006016973396753604,0.009889134357953073,0.05859570478112206,-0.024076658731973996,0.048335303899672964,0.0313276268412934,-0.016000832185173685,0.029892149182677893,-0.011572672140639504,-0.020845260388060793,0.017127230889762667,0.009756898295506597,0.009177345876308892,-0.007855390642500916,-0.008412328998092222,0.01258064773099761,-0.021323586730463025,0.0005190684248456627,0.01330627768206899,-0.011220800309157395,0.005994560828511909,0.004900882623684108,-0.010918785602285425,-0.010463768566381345,-0.00040848802714768783,0.0031352155584656416,-0.007841535189574684,0.00034490368253347855,-0.004736941313580338,-0.001030269529886875,0.003152432183507188,-0.005510881757360772,4.636777711425619e-05,0.0032242563478132656,0.0012429995549044486,0.007695020966191283,-0.0006626383112357211,-9.041570354812635e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-24,201473,-0.009506124899047445,0.059352321669555314,-0.004713191973411313,0.018532059990311836,0.01488457463567215,0.08555922992145744,-0.04240557420615472,0.017825901870029217,-0.030887414587791363,-0.0940019717219251,-0.017411692195564397,-0.008351544745530513,0.10423132860419834,-0.02021343838963445,0.013228202213298004,0.058368397863167554,0.022114166836714227,-0.032626819118245394,-0.015748238729046238,0.01340707252992876,0.00017281743171851263,-0.004624507236905312,0.0021520968190195935,-0.024123439801506903,0.021443006583540505,-0.006673211831923586,0.005369038701827232,0.01166640298950387,-0.010602983874503603,0.00033841686985979717,-0.004924535423619055,-0.002403976739706362,0.0021093708100093558,-0.0003821141845906281,0.0011142004719776146,-0.0035542007710173246,0.0007884523817176478,-0.0015805463800514748,6.612564174328779e-05,0.0002131352694396495,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-14,201474,-0.06069601627371592,-0.04226502109009177,-0.034980593554715105,0.022141280704019953,-0.011658457560675704,0.046148012151475515,-0.0427113113226702,-0.010959946942171263,0.00032263652751275137,-0.013267501318520445,-0.06119162470756323,0.007348098380639678,-0.012399134204989422,-0.010327919108845023,0.022285126395503157,0.006511896986724259,0.002126407058792053,-0.017072880145914647,-0.0014854347014271034,0.01965342096914746,0.007977315605352187,-0.010783661925528317,-0.006982201390320855,-0.0034501401614434324,-0.004555779489166306,0.005076512915203991,0.0005981759493433944,-0.006864166179043305,0.015063131060941775,0.008411199306367773,0.004776816257355176,-0.012037412448492513,0.002721678179699226,-0.005424655598599947,0.002806593537186217,-0.00017445547473302937,0.003126517739869745,-0.0036096819945299853,0.001675739328443854,-0.00032066482571167424,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-21,201481,-0.07545244041337834,-0.07771752538777843,0.02359178488921985,-0.016675660686641426,-0.025162512000252834,-0.014886161993096987,-0.015254217148745489,-0.0324577240781663,-0.011727564400701662,-0.010250773471176821,0.029024195123982674,-0.0028095497502698625,-0.016818797245531477,0.001127454099304786,-0.0033538602689850085,-0.005099714124705581,0.02088677709283021,-0.0019395922147751883,-0.008110129176746661,0.00915443911803736,-4.009493130107438e-05,0.008650786102588476,0.0037217554932336,-0.004906459910807006,0.01020533979583467,-0.0027093349201415006,-0.006133064159125485,-0.007756977830867343,-0.008912657510138375,0.014635852323298627,0.01795165454404991,-0.007146276213348925,0.008457618325535599,-0.0037592891178887533,0.0027170259036189367,0.000903666815523689,-0.0009046478978118702,-0.0012699275772692848,-0.004647751083096179,0.000523282770872567,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-37,201485,-0.06878353645016913,-0.05415145542238733,0.005546557284874062,-0.009234142262853691,-0.0032701639483583957,0.04447814749320864,-0.02597720445958315,-0.025050059142435552,-0.03930258592665649,-0.035425987994843845,-0.010507857957822985,-0.03043608185945662,-0.008164940210794787,-0.013983112053648095,-0.015866895426116596,0.004528370888435854,-0.006828096484699809,-0.003366776204439176,-0.006708998275724095,0.006846367192415495,-0.006977560191994431,-0.005758247712661413,-0.007273000853526165,-0.02536581708894474,-0.01623475206697421,0.006251160123480931,0.020163650089591912,0.014189903106408804,-0.020999414654684394,0.0048628686704249606,-0.0051391623010175235,-0.006191338185073686,-0.002827055695522883,0.010985840339049521,0.003312626961901746,0.004158130732049856,-0.0065488389042065364,-0.00018528497253326973,-0.0006343661581333162,-0.0003767259447723271,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
