sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79
KL-CP-2,201462,-0.001427895820493411,0.12855348064284067,0.05591624998315117,0.041826182181994166,-0.011711254144161075,0.04658592325417934,-0.015077894779897226,0.045272777015386866,0.05398243638541626,0.04013693869283807,0.05271116807183029,0.017900142672299477,-7.051208387001443e-05,-0.01243321885425508,0.01945125974552368,0.002251929791649097,-0.028133810699075397,-0.013448894229680647,0.0016894656441615785,0.009331108115040714,0.0024500699167862234,0.007205179133523489,0.005532655402101993,0.003029566418698931,0.004632859399273858,-0.003834932213962363,-0.0010649404693116075,-0.00159900846385404,-0.0023455167733022714,-0.0006019231334038568,-0.0019539781533569993,-0.0005587281807935545,0.0004084399543564059,0.00023906055491585367,-6.155117194542343e-05,-0.00031344669223231736,-1.3503794887213855e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-5,201465,-0.026598026338151663,-0.01763522601747972,-0.004782130045585216,0.00010099870102088046,0.0031220039212868267,0.00546129429936481,0.014706522805188246,0.006909545206877816,0.01196510334225234,-0.008392403560071458,0.008509926002565815,-0.013308908925061171,-0.008825816982442438,0.004956237811311236,-0.0015705202443911347,-0.0016632967508826899,0.0013274265729170034,0.0061521652629057165,-0.006008954066183012,-0.008846576663757646,0.002281302977255785,-0.0053049831939464736,-0.004833844676191536,-0.0025161675438450637,-0.0019600053953885066,-0.002445471322834923,0.0026188214507700384,-0.007373412476506372,0.0007065315522384009,-0.0031883160981385863,0.003778781256550331,-0.002508698290339755,0.0064320041027847085,0.006201701781821634,-0.0014474748412036812,0.0001786547989535782,0.0003751097296168263,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-8,201468,-0.026761174864448255,-0.01878668493150613,-0.002782975349972735,0.01429418020770381,0.005655212490893846,-0.0008352099121677255,0.01125581859367768,0.0006502738480388052,0.015051700384021078,-0.01660375256449163,0.000562565899017975,0.004658458793377967,-0.005321147690647306,-0.002998780968400217,-0.003450609312668547,-0.0017501180720546827,-0.01264800239633448,0.00548697800190956,-0.00015913480860965613,-0.005620339269142459,0.004788271145931608,-0.005265066093911465,0.007497949915095777,0.00535709962866376,-0.0025504420437374178,0.0025639491327629467,0.0012503778212393925,-0.0009908557712977257,-0.0022541621840360673,-2.0709667729847222e-05,-0.0052827700379602105,0.0004756360764788017,0.004142637841437788,-0.0030837771005993455,-0.0012152404633037762,0.0037667052433052197,-0.001038501388159303,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-22,201471,-0.02653358696865375,-0.005035819544763736,0.0008193221375319231,0.0032598841345279415,-0.0028511783587875806,0.00565078525432654,0.014116947933296282,0.00511369191903666,-0.005628669716969322,-0.010387112959839373,0.004415592671851127,0.005747620961470172,0.02914370337440497,0.0026124695175390985,0.013594794797836837,-0.011641443926025357,0.0070033352223694,0.00801453167665788,-0.006357388977149722,-0.0072341443613792,0.000513033133773176,-0.004607575014408632,-0.002505345979693045,0.0005101714538277912,0.0021225670707038756,0.002419932648487267,0.004650019297744296,0.007957655371560434,-0.0029108605545746895,-0.003624532431251325,-0.0028765163075813917,-0.002798381693941188,0.0020802287791086933,0.0002905640260321738,-0.0006498496761744873,-0.0009861721921888415,0.0009750075341904593,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-24,201473,-0.024345305886178625,0.023989352262337702,0.01315880428466122,0.009562003795238984,-0.0013477932219786587,0.0015579314426196836,0.009710815654478996,0.0197922226538291,-0.030615763083423883,0.004838386687210034,0.0025545418025638674,0.002901476487424879,-0.018480171867561603,-0.012272764037988132,0.011670081459669537,0.03822693685065561,0.009238536155829681,0.019881884298626695,-0.003660328541229687,-0.008223230654634215,-0.01558389049501704,0.009041081849414434,0.008245667916927782,0.01057718389738871,-0.005941930456724922,-0.0038670869487837504,-0.0027714396498233276,0.0021337434468571086,-0.0015765516960715405,-0.002061877975093407,0.0027098497811681816,-0.002294510699044455,0.0020507789044687925,0.0011552144371714842,-0.00029951456244698224,-0.0009454395124271056,-0.0010683784949596488,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-14,201474,-0.026267836808085296,-0.019624018019286805,-0.005885678262106359,-0.002740810923076375,0.0030261044081742986,0.001303476477230684,0.005616516372438331,0.009556632657127579,0.014078384425440571,-0.0012382227106545113,-0.0008694367557555386,-0.005696715792749505,-0.008668100623061068,0.011639343198397597,0.0018991346113085346,0.00866853692858359,-0.001809165569778828,0.007996383070919554,0.0001771326369123385,-0.0045021276296186765,-0.0012874926628203918,0.0034639782805523816,0.00014962271435652052,0.0026054199270560082,0.0017382759022292384,-0.003797560236773393,-0.007762996314317942,-0.001429567043269599,0.002303453957307899,-0.004431041764141714,-0.007094339402919753,-0.003411489879912929,0.000912250692953811,-0.003669407696303764,0.0041099105873855755,0.0004799058031001776,0.0014890880515441203,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-21,201481,-0.026383605390528888,-0.018291931699890452,-0.0026885050101463,0.017693167903734618,-0.001978015668277029,0.015375069568741408,0.016664631309007288,-0.011766892843404349,0.02975872651136181,-0.007783118503566751,0.008650275117140062,0.00854231173856665,-0.012979790456074902,-0.007245599955921643,-0.010712459747008364,-0.0013584376807325687,-0.006608995504273505,-0.0009895334164417918,-0.0072722535015902305,0.009643695561062099,0.009538818211607245,0.0014807479178988968,0.006717592908827085,-0.008395540174547593,0.007457111119413462,-0.00039301164277376094,0.0036425893105283026,0.007260739542719624,0.005179605527212445,-0.004027608341184967,0.0003252888884557723,-0.0021762676500653036,-0.0015800381087715683,0.002685527126779266,0.002681766599821266,0.0020474255950039383,0.0010401383503063633,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-37,201485,-0.026368713303648646,-0.023847993557669967,-0.007956288205468983,-0.0002157258883928749,-0.010538186156511815,0.009920513544866215,0.021643267154599376,-0.002676222615242073,0.01784420756942423,0.00941965192724828,0.008087090359611596,-0.008124828018314514,-0.013633208985616261,-0.007235308323249884,0.011335575036248163,0.0018338017455683663,-0.006557203528697146,0.014804451600963667,-0.005011481426832509,0.002001245506886296,0.0018151048466722693,0.004194047700645616,-0.003528805179390588,-0.003597613751547438,-0.0034699887936000024,-0.0003153109923670784,0.0063187024460596725,0.005243526132805793,-0.0048534261607790785,0.001517581443075112,0.0013889876432817624,0.00657197145770164,0.002062974775625623,0.0004748570820601345,-0.0013128864527122616,-0.0006883936455206297,-0.0004279983948756068,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-27,201487,-0.026371864508389072,-0.011344293608102492,-0.0013540722582494503,0.0015741291103569704,0.003719651962558633,0.016633308140623176,-0.00485216911993705,0.006311374726385043,-0.0008037912440332098,-0.0009691218235760876,0.00616139662399534,-0.00011458065048174036,0.0043308818420129324,0.0053533785041479775,0.0007779099112665546,0.0005053346043632549,0.010177146535678827,0.009207140161340352,-0.004138631766254498,-0.007085567447802755,-0.005095632568474042,-0.011834196385645998,0.007553212571246482,-0.0022758048327390615,-0.0034335318948629824,0.0008988137033196745,0.006832797183323431,-0.004365612185066731,0.00037531734236626865,0.005844171436068284,0.004523307103723347,-0.0009363754360187544,-0.0021287403600762783,-0.001802776659651906,0.002656329991292842,0.0030860356221181465,0.0004892633008144123,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL-CP-29,201489,-0.02654575108676583,-0.020047537544639404,-0.003376841375616677,0.010340603062153647,0.008939069390853588,0.01646703393869169,-0.005563590746475536,-0.0009701352338954807,0.005993545928591413,-0.003079082673330887,0.002284331617188864,0.006288625048467942,-0.0035345383711420696,-0.00018704776166633946,9.174679065898602e-05,0.0010148947913479656,0.0020091051238298255,0.010745277493773162,0.004692614942491935,0.0013671600243206341,0.00043963982393857315,-0.005914726517686245,-0.0031015695009218272,0.0061769490627340785,-0.007302989970185448,0.0016500690217339628,0.003912179846518913,-0.0009100344499959468,0.0012172002459542328,0.0028772327717277815,-0.003747587107848052,0.000298241745506891,-0.001553496880230553,0.0005786434249859915,0.001155010441629733,0.0015291093292862917,-0.0005898823578217267,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
